MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Age,Remodeled,TotalBathrooms,OverallQualCond,TotalPorchSF,LotFrontageRatio,PricePerSF,TimeSinceRemodel
SC60,RL,65.0,8450.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5.0,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,856.0,GasA,Ex,Y,SBrkr,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,8.0,Typ,0.0,No,Attchd,1980.0,RFn,2.0,548.0,TA,TA,Y,0.0,61.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Feb,2008.0,WD,Normal,208500.0,2566.0,5.0,0,3.5,12.0,61.0,0.007692307692307693,81.25487139516757,5.0
SC20,RL,80.0,9600.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6.0,5.0,1976.0,1976.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262.0,GasA,Ex,Y,SBrkr,1262.0,0.0,0.0,1262.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1980.0,RFn,2.0,460.0,TA,TA,Y,298.0,0.0,0.0,0.0,0.0,0.0,No,No,No,0.0,May,2007.0,WD,Normal,181500.0,2524.0,31.0,0,2.0,11.0,0.0,0.008333333333333333,71.90966719492869,31.0
SC60,RL,68.0,11250.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5.0,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,920.0,GasA,Ex,Y,SBrkr,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1980.0,RFn,2.0,608.0,TA,TA,Y,0.0,42.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Sep,2008.0,WD,Normal,223500.0,2706.0,7.0,1,3.5,12.0,42.0,0.006044444444444444,82.59423503325942,6.0
SC70,RL,60.0,9550.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7.0,5.0,1915.0,1970.0,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,Y,SBrkr,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Detchd,1980.0,Unf,3.0,642.0,TA,TA,Y,0.0,35.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Feb,2006.0,WD,Abnorml,140000.0,2473.0,91.0,1,2.0,12.0,35.0,0.0062827225130890054,56.61140315406389,36.0
SC60,RL,84.0,14260.0,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,1145.0,GasA,Ex,Y,SBrkr,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,TA,Attchd,1980.0,RFn,3.0,836.0,TA,TA,Y,192.0,84.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Dec,2008.0,WD,Normal,250000.0,3343.0,8.0,0,3.5,13.0,84.0,0.005890603085553997,74.78312892611427,8.0
SC50,RL,85.0,14115.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5.0,5.0,1993.0,1995.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,796.0,GasA,Ex,Y,SBrkr,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,TA,5.0,Typ,0.0,No,Attchd,1980.0,Unf,2.0,480.0,TA,TA,Y,40.0,30.0,0.0,0.0,0.0,0.0,No,MnPrv,Shed,0.0,Oct,2009.0,WD,Normal,143000.0,2158.0,16.0,1,2.5,10.0,30.0,0.0060219624512929506,66.26506024096386,14.0
SC20,RL,75.0,10084.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,Y,SBrkr,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,636.0,TA,TA,Y,255.0,57.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Aug,2007.0,WD,Normal,307000.0,3380.0,3.0,1,3.0,13.0,57.0,0.007437524791749306,90.82840236686391,2.0
SC60,RL,0.0,10382.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7.0,6.0,1973.0,1973.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,0.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,2.0,TA,Attchd,1980.0,RFn,2.0,484.0,TA,TA,Y,235.0,25.0,0.0,0.0,0.0,0.0,No,No,Shed,0.0,Nov,2009.0,WD,Normal,200000.0,3197.0,36.0,0,3.5,13.0,25.0,0.0,62.55864873318736,36.0
SC50,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7.0,5.0,1931.0,1950.0,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,952.0,GasA,Gd,Y,SBrkr,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,8.0,Min1,2.0,TA,Detchd,1980.0,Unf,2.0,468.0,Fa,TA,Y,90.0,0.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Apr,2008.0,WD,Abnorml,129900.0,2726.0,77.0,1,2.0,12.0,0.0,0.008333333333333333,47.65223771093177,58.0
SC190,RL,50.0,7420.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5.0,6.0,1939.0,1950.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,Y,SBrkr,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,2.0,TA,Attchd,1980.0,RFn,1.0,205.0,Gd,TA,Y,0.0,4.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Jan,2008.0,WD,Normal,118000.0,2068.0,69.0,1,2.0,11.0,4.0,0.006738544474393531,57.05996131528046,58.0
